ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat
2222bRQqBTZ6dLnPH,32757157_6999801415950060.0,6999801415950060,7,0,0,0,1,Fit,Fitness,Fitness,Fit,Fat,1,5,0,1,Desktop,1,1,USA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2222sJk4DcoqXXi98,1043988516_3525281295.0,3525281295,2,0,0,0,0,Rand,Random,Random,,,,1,0,1,Desktop,0,1,BEL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2223CNmvTr2Coj4wp,-1613944085_422160228641876.0,422160228641876,10,0,1,0,1,Female,Gender,Gender,Male,Female,0,4,0,1,Mobile,0,0,ISR,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2223Xu54ufgjcyMR3,1425316635_327833569077076.0,327833569077076,11,0,0,1,0,Old,Age,Age,Young,Old,0,5,0,0,Desktop,1,0,MEX,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2223jMWDEGNeszivb,-1683127088_785070916172117.0,785070916172117,8,0,1,0,2,More,Utilitarian,Utilitarian,More,Less,1,5,2,0,Mobile,0,0,CHE,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
22244vvSZfn4J9Zop,1525185249_1436495773909467.0,1436495773909470,11,0,0,1,0,Low,Social Status,Social Status,High,Low,0,2,0,0,Desktop,1,1,RUS,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2224H2QBFKNsMmRQc,1661661891_4304873273230329.0,4304873273230330,11,0,1,0,0,Female,Gender,Gender,Male,Female,0,5,0,0,Desktop,0,1,TUR,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0
2224YxTZcu4sJqTSD,-887960483_174929057557052.0,174929057557052,6,0,0,0,2,Hoomans,Species,Species,Hoomans,Pets,1,5,0,1,Desktop,1,0,CAN,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2224g4ytARX4QT5rB,213978760_9992828917431898.0,9992828917431900,7,0,0,1,0,Less,Utilitarian,Utilitarian,More,Less,0,4,1,1,Desktop,1,0,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2224kBG72574tbZD3,737909459_839962439872333.0,839962439872333,12,0,0,1,0,Old,Age,Age,Young,Old,0,3,0,1,Desktop,0,1,MEX,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225gNWJcAeE92LXd,2069688900_9887644874714294.0,9887644874714300,3,0,0,1,0,More,Utilitarian,Utilitarian,More,Less,1,5,4,1,Mobile,0,0,DEU,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
2225giMabFAayqtuZ,119593534_4060326529262035.0,4060326529262040,2,0,0,0,2,Fit,Fitness,Fitness,Fit,Fat,1,4,0,1,Mobile,0,1,USA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225s6f4PqRQYeBd4,1153359856_8971439613901464.0,8971439613901470,4,0,1,0,1,Fit,Fitness,Fitness,Fit,Fat,1,3,0,1,Desktop,1,0,SAU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2225sWJ5kN3ZmqjPY,1497926576_519753170665353.0,519753170665353,4,0,0,0,2,Old,Age,Age,Young,Old,0,2,0,0,Desktop,1,1,GBR,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225yzLoy7yvKaToo,-1635005699_8666806392072257.0,8666806392072260,3,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,2,3,0,Mobile,0,1,TUR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2226XQThAXp4JFsNR,1663496420_7962671985798955.0,7962671985798960,11,0,0,0,1,Rand,Random,Random,,,,2,2,0,Desktop,0,0,PHL,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2226w39ypRc93WBeb,1405029061_4753212266494176.0,4753212266494180,4,0,1,0,0,Old,Age,Age,Young,Old,0,4,0,0,Desktop,0,0,AUT,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227D8o2onrAzLT4b,24729318_2981987920.0,2981987920,7,0,1,0,2,Less,Utilitarian,Utilitarian,More,Less,0,3,2,0,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2227HLuGTvWooXAs3,670869039_8242632941749120.0,8242632941749120,11,0,0,1,0,Female,Gender,Gender,Male,Female,0,1,0,0,Desktop,0,0,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227YepvBZrsgYDSs,1214766696_8665250841981151.0,8665250841981150,12,0,0,0,0,Fit,Fitness,Fitness,Fit,Fat,1,1,0,1,Desktop,1,0,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227h9GkrNbwhBD6t,-1033736141_5392791780749771.0,5392791780749770,11,0,0,1,0,Male,Gender,Gender,Male,Female,1,1,0,0,Desktop,1,1,BRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2227sfrgkT3R7PnRo,-1065868016_2391726640665288.0,2391726640665290,11,0,0,0,0,Pets,Species,Species,Hoomans,Pets,0,3,0,0,Desktop,1,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2228EQY3XnmTh3dq8,-1700464608_947225429117679.0,947225429117679,7,0,0,0,0,More,Utilitarian,Utilitarian,More,Less,1,5,4,1,Desktop,1,0,EGY,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
2228uPoPgxjZfjSFd,1267756066_2461531300.0,2461531300,1,0,0,1,0,Male,Gender,Gender,Male,Female,1,1,0,1,Desktop,0,1,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
