problem_code,answer,status,Saved,Language,ScenarioType,AttributeLevel,Intervention,Barrier,CrossingSignal,Characters,ScenarioTypeStrict,PedPed,consistent,coherent
"fr,age,Young,1,0,0,2man.1boy",rester,CHANGE,1,fr,Age,Young,1,0,0,2man.1boy,Age,1,1,1
"fr,age,Old,0,0,0,3elderly man",rester,STAY,0,fr,Age,Old,0,0,0,3elderly man,Age,1,1,1
"ja,age,Young,1,0,2,3boy.1girl",変更,CHANGE,0,ja,Age,Young,1,0,2,3boy.1girl,Age,1,1,1
"ja,age,Old,0,0,1,2man.1elderly woman.1elderly man",変更,STAY,1,ja,Age,Old,0,0,1,2man.1elderly woman.1elderly man,Age,1,1,1
"fr,age,Young,1,0,0,1woman.1girl",rester,CHANGE,1,fr,Age,Young,1,0,0,1woman.1girl,Age,1,1,1
"fr,age,Old,0,0,0,2elderly woman",rester,STAY,0,fr,Age,Old,0,0,0,2elderly woman,Age,1,1,1
"en,age,Old,1,0,2,2elderly man.1elderly woman.1woman.1man",stay,CHANGE,1,en,Age,Old,1,0,2,2elderly man.1elderly woman.1woman.1man,Age,1,1,1
"en,age,Young,0,0,1,2man.1woman.1girl.1boy",stay,STAY,0,en,Age,Young,0,0,1,2man.1woman.1girl.1boy,Age,1,1,1
"zh,age,Young,1,0,0,3man.1girl",留下,CHANGE,1,zh,Age,Young,1,0,0,3man.1girl,Age,0,1,1
"zh,age,Old,0,1,0,3elderly man.1elderly woman",留下,STAY,0,zh,Age,Old,0,1,0,3elderly man.1elderly woman,Age,0,1,1
"zh,age,Old,1,0,2,1elderly man",留下,CHANGE,1,zh,Age,Old,1,0,2,1elderly man,Age,1,1,1
"zh,age,Young,0,0,1,1man",留下,STAY,0,zh,Age,Young,0,0,1,1man,Age,1,1,1
"ja,age,Old,1,1,0,1elderly man.1woman.1elderly woman.2man",滞在,CHANGE,1,ja,Age,Old,1,1,0,1elderly man.1woman.1elderly woman.2man,Age,0,1,0
"ja,age,Young,0,0,0,3boy.1girl.1woman",滞在,STAY,0,ja,Age,Young,0,0,0,3boy.1girl.1woman,Age,0,1,0
"en,age,Old,1,0,2,1elderly woman.1woman.3elderly man",change,CHANGE,0,en,Age,Old,1,0,2,1elderly woman.1woman.3elderly man,Age,1,1,1
"en,age,Young,0,0,1,2girl.2boy.1man",change,STAY,1,en,Age,Young,0,0,1,2girl.2boy.1man,Age,1,1,1
"ja,age,Young,1,0,0,1woman.1girl.1man.1boy",変更,CHANGE,0,ja,Age,Young,1,0,0,1woman.1girl.1man.1boy,Age,1,1,1
"ja,age,Old,0,0,0,2elderly woman.2elderly man",変更,STAY,1,ja,Age,Old,0,0,0,2elderly woman.2elderly man,Age,1,1,1
