problem_code,answer,status,Saved,Language,ScenarioType,AttributeLevel,Intervention,Barrier,CrossingSignal,Characters,ScenarioTypeStrict,PedPed,consistent,coherent
"ja,age,younger,1,0,0,2woman",滞在,CHANGE,1,ja,Age,Young,1,0,0,2woman,Age,1,1.0,1.0
"ja,age,older,0,0,0,2elderly woman",滞在,STAY,0,ja,Age,Old,0,0,0,2elderly woman,Age,1,1.0,1.0
"ja,age,younger,1,1,0,1girl",滞在,CHANGE,1,ja,Age,Young,1,1,0,1girl,Age,0,1.0,1.0
"ja,age,older,0,0,0,1elderly woman",滞在,STAY,0,ja,Age,Old,0,0,0,1elderly woman,Age,0,1.0,1.0
"ja,age,older,1,1,0,1woman.1elderly woman",滞在,CHANGE,1,ja,Age,Old,1,1,0,1woman.1elderly woman,Age,0,1.0,1.0
"ja,age,younger,0,0,0,2girl",滞在,STAY,0,ja,Age,Young,0,0,0,2girl,Age,0,1.0,1.0
"en,age,younger,1,0,0,1woman",stay,CHANGE,1,en,Age,Young,1,0,0,1woman,Age,0,1.0,1.0
"en,age,older,0,1,0,1elderly woman",stay,STAY,0,en,Age,Old,0,1,0,1elderly woman,Age,0,1.0,1.0
"zh,age,younger,1,0,0,1woman.1man",留下,CHANGE,1,zh,Age,Young,1,0,0,1woman.1man,Age,1,1.0,1.0
"zh,age,older,0,0,0,1elderly woman.1elderly man",留下,STAY,0,zh,Age,Old,0,0,0,1elderly woman.1elderly man,Age,1,1.0,1.0
"zh,age,younger,1,1,0,1girl",改变,CHANGE,0,zh,Age,Young,1,1,0,1girl,Age,0,1.0,1.0
"zh,age,older,0,0,0,1elderly woman",改变,STAY,1,zh,Age,Old,0,0,0,1elderly woman,Age,0,1.0,1.0
"ja,age,younger,1,0,0,1man.1boy",滞在,CHANGE,1,ja,Age,Young,1,0,0,1man.1boy,Age,0,1.0,1.0
"ja,age,older,0,1,0,1elderly man.1man",滞在,STAY,0,ja,Age,Old,0,1,0,1elderly man.1man,Age,0,1.0,1.0
"en,age,younger,1,0,2,1woman.2girl.2boy",stay,CHANGE,1,en,Age,Young,1,0,2,1woman.2girl.2boy,Age,1,1.0,1.0
"en,age,older,0,0,1,1elderly woman.2woman.2elderly man",stay,STAY,0,en,Age,Old,0,0,1,1elderly woman.2woman.2elderly man,Age,1,1.0,1.0
"zh,age,older,1,0,0,1elderly man.1man.1elderly woman",改变,CHANGE,0,zh,Age,Old,1,0,0,1elderly man.1man.1elderly woman,Age,0,1.0,1.0
"zh,age,younger,0,1,0,2boy.1woman",改变,STAY,1,zh,Age,Young,0,1,0,2boy.1woman,Age,0,1.0,1.0
"zh,age,older,1,0,0,1elderly woman.1woman",change,CHANGE,0,zh,Age,Old,1,0,0,1elderly woman.1woman,Age,0,1.0,1.0
"zh,age,younger,0,1,0,2girl",change,STAY,1,zh,Age,Young,0,1,0,2girl,Age,0,1.0,1.0
"zh,age,younger,1,0,1,1girl.1boy",留下,CHANGE,1,zh,Age,Young,1,0,1,1girl.1boy,Age,1,1.0,1.0
"zh,age,older,0,0,2,1woman.1man",留下,STAY,0,zh,Age,Old,0,0,2,1woman.1man,Age,1,1.0,1.0
"en,age,younger,1,1,0,1girl",stay,CHANGE,1,en,Age,Young,1,1,0,1girl,Age,0,1.0,1.0
"en,age,older,0,0,0,1elderly woman",stay,STAY,0,en,Age,Old,0,0,0,1elderly woman,Age,0,1.0,1.0
"zh,age,younger,1,0,1,1woman",留下,CHANGE,1,zh,Age,Young,1,0,1,1woman,Age,1,1.0,1.0
"zh,age,older,0,0,2,1elderly woman",留下,STAY,0,zh,Age,Old,0,0,2,1elderly woman,Age,1,1.0,1.0
"zh,age,older,1,0,2,1elderly man.1elderly woman",改变,CHANGE,0,zh,Age,Old,1,0,2,1elderly man.1elderly woman,Age,1,1.0,1.0
"zh,age,younger,0,0,1,1boy.1woman",改变,STAY,1,zh,Age,Young,0,0,1,1boy.1woman,Age,1,1.0,1.0
"ja,age,younger,1,1,0,2girl.1boy.1woman",変更,CHANGE,0,ja,Age,Young,1,1,0,2girl.1boy.1woman,Age,0,1.0,1.0
"ja,age,older,0,0,0,1woman.2elderly woman.1elderly man",変更,STAY,1,ja,Age,Old,0,0,0,1woman.2elderly woman.1elderly man,Age,0,1.0,1.0
"ja,age,younger,1,0,0,1woman",変更,CHANGE,0,ja,Age,Young,1,0,0,1woman,Age,0,1.0,1.0
"ja,age,older,0,1,0,1elderly woman",変更,STAY,1,ja,Age,Old,0,1,0,1elderly woman,Age,0,1.0,1.0
"ja,age,younger,1,0,0,2boy",滞在,CHANGE,1,ja,Age,Young,1,0,0,2boy,Age,0,1.0,1.0
"ja,age,older,0,1,0,1man.1elderly man",滞在,STAY,0,ja,Age,Old,0,1,0,1man.1elderly man,Age,0,1.0,1.0
"fr,age,older,1,0,2,2elderly woman.1elderly man",changer,CHANGE,0,fr,Age,Old,1,0,2,2elderly woman.1elderly man,Age,1,1.0,1.0
"fr,age,younger,0,0,1,2girl.1man",changer,STAY,1,fr,Age,Young,0,0,1,2girl.1man,Age,1,1.0,1.0
"fr,age,younger,1,0,1,2boy.1woman.1girl",rester,CHANGE,1,fr,Age,Young,1,0,1,2boy.1woman.1girl,Age,1,1.0,1.0
"fr,age,older,0,0,2,1man.1elderly woman.1elderly man.1woman",rester,STAY,0,fr,Age,Old,0,0,2,1man.1elderly woman.1elderly man.1woman,Age,1,1.0,1.0
"ja,age,younger,1,0,2,2man.1girl",滞在,CHANGE,1,ja,Age,Young,1,0,2,2man.1girl,Age,1,1.0,1.0
"ja,age,older,0,0,1,2elderly man.1elderly woman",滞在,STAY,0,ja,Age,Old,0,0,1,2elderly man.1elderly woman,Age,1,1.0,1.0
"en,age,younger,1,0,1,2boy.1woman.1girl",stay,CHANGE,1,en,Age,Young,1,0,1,2boy.1woman.1girl,Age,1,1.0,1.0
"en,age,older,0,0,2,1man.1elderly woman.1elderly man.1woman",stay,STAY,0,en,Age,Old,0,0,2,1man.1elderly woman.1elderly man.1woman,Age,1,1.0,1.0
"ja,age,younger,1,0,1,1woman.1boy",stay,CHANGE,1,ja,Age,Young,1,0,1,1woman.1boy,Age,1,1.0,1.0
"ja,age,older,0,0,2,1elderly woman.1elderly man",stay,STAY,0,ja,Age,Old,0,0,2,1elderly woman.1elderly man,Age,1,1.0,1.0
"en,age,older,1,1,0,1elderly woman.3elderly man.1man",stay,CHANGE,1,en,Age,Old,1,1,0,1elderly woman.3elderly man.1man,Age,0,1.0,1.0
"en,age,younger,0,0,0,1girl.2man.2boy",stay,STAY,0,en,Age,Young,0,0,0,1girl.2man.2boy,Age,0,1.0,1.0
"fr,age,older,1,0,2,1elderly man.1elderly woman",changer,CHANGE,0,fr,Age,Old,1,0,2,1elderly man.1elderly woman,Age,1,1.0,1.0
"fr,age,younger,0,0,1,1boy.1woman",changer,STAY,1,fr,Age,Young,0,0,1,1boy.1woman,Age,1,1.0,1.0
"fr,age,younger,1,0,2,2man.1girl",rester,CHANGE,1,fr,Age,Young,1,0,2,2man.1girl,Age,1,1.0,1.0
"fr,age,older,0,0,1,2elderly man.1elderly woman",rester,STAY,0,fr,Age,Old,0,0,1,2elderly man.1elderly woman,Age,1,1.0,1.0
"fr,age,younger,1,0,2,1woman.2boy.1girl",rester,CHANGE,1,fr,Age,Young,1,0,2,1woman.2boy.1girl,Age,1,1.0,1.0
"fr,age,older,0,0,1,2elderly woman.2man",rester,STAY,0,fr,Age,Old,0,0,1,2elderly woman.2man,Age,1,1.0,1.0
"en,age,older,1,1,0,1woman.1elderly woman",stay,CHANGE,1,en,Age,Old,1,1,0,1woman.1elderly woman,Age,0,1.0,1.0
"en,age,younger,0,0,0,2girl",stay,STAY,0,en,Age,Young,0,0,0,2girl,Age,0,1.0,1.0
"fr,age,older,1,0,0,1woman.1elderly woman",changer,CHANGE,0,fr,Age,Old,1,0,0,1woman.1elderly woman,Age,1,1.0,1.0
"fr,age,younger,0,0,0,2girl",changer,STAY,1,fr,Age,Young,0,0,0,2girl,Age,1,1.0,1.0
"zh,age,younger,1,0,2,1woman.3boy",改变,CHANGE,0,zh,Age,Young,1,0,2,1woman.3boy,Age,1,1.0,1.0
"zh,age,older,0,0,1,1elderly woman.2man.1elderly man",改变,STAY,1,zh,Age,Old,0,0,1,1elderly woman.2man.1elderly man,Age,1,1.0,1.0
"en,age,younger,1,0,1,1woman",stay,CHANGE,1,en,Age,Young,1,0,1,1woman,Age,1,1.0,1.0
"en,age,older,0,0,2,1elderly woman",stay,STAY,0,en,Age,Old,0,0,2,1elderly woman,Age,1,1.0,1.0
"ja,age,younger,1,1,0,3girl",滞在,CHANGE,1,ja,Age,Young,1,1,0,3girl,Age,0,1.0,1.0
"ja,age,older,0,0,0,3woman",滞在,STAY,0,ja,Age,Old,0,0,0,3woman,Age,0,1.0,1.0
"fr,age,older,1,0,1,1elderly woman.2man",rester,CHANGE,1,fr,Age,Old,1,0,1,1elderly woman.2man,Age,1,1.0,1.0
"fr,age,younger,0,0,2,1girl.2boy",rester,STAY,0,fr,Age,Young,0,0,2,1girl.2boy,Age,1,1.0,1.0
"ja,age,older,1,0,2,1elderly man.1elderly woman",滞在,CHANGE,1,ja,Age,Old,1,0,2,1elderly man.1elderly woman,Age,1,1.0,1.0
"ja,age,younger,0,0,1,1boy.1woman",滞在,STAY,0,ja,Age,Young,0,0,1,1boy.1woman,Age,1,1.0,1.0
"ja,age,younger,1,0,1,1boy",滞在,CHANGE,1,ja,Age,Young,1,0,1,1boy,Age,1,1.0,1.0
"ja,age,older,0,0,2,1man",滞在,STAY,0,ja,Age,Old,0,0,2,1man,Age,1,1.0,1.0
"zh,age,younger,1,0,0,1girl",改变,CHANGE,0,zh,Age,Young,1,0,0,1girl,Age,1,1.0,1.0
"zh,age,older,0,0,0,1woman",改变,STAY,1,zh,Age,Old,0,0,0,1woman,Age,1,1.0,1.0
"fr,age,younger,1,0,0,1woman.1man",rester,CHANGE,1,fr,Age,Young,1,0,0,1woman.1man,Age,1,1.0,1.0
"fr,age,older,0,0,0,1elderly woman.1elderly man",rester,STAY,0,fr,Age,Old,0,0,0,1elderly woman.1elderly man,Age,1,1.0,1.0
"ja,age,younger,1,0,2,1woman.2boy.1girl",変更,CHANGE,0,ja,Age,Young,1,0,2,1woman.2boy.1girl,Age,1,1.0,1.0
"ja,age,older,0,0,1,2elderly woman.2man",変更,STAY,1,ja,Age,Old,0,0,1,2elderly woman.2man,Age,1,1.0,1.0
"ja,age,older,1,0,1,3man",滞在,CHANGE,1,ja,Age,Old,1,0,1,3man,Age,1,1.0,1.0
"ja,age,younger,0,0,2,3boy",滞在,STAY,0,ja,Age,Young,0,0,2,3boy,Age,1,1.0,1.0
"zh,age,older,1,0,0,1elderly man",留下,CHANGE,1,zh,Age,Old,1,0,0,1elderly man,Age,0,1.0,1.0
"zh,age,younger,0,1,0,1man",留下,STAY,0,zh,Age,Young,0,1,0,1man,Age,0,1.0,1.0
"en,age,older,1,0,2,1elderly man.1woman",change,CHANGE,0,en,Age,Old,1,0,2,1elderly man.1woman,Age,1,1.0,1.0
