problem_code,answer,status,Saved,Language,ScenarioType,AttributeLevel,Intervention,Barrier,CrossingSignal,Characters,ScenarioTypeStrict,PedPed,consistent,coherent
"fr,species,Hoomans,1,0,0,1female executive.1man",rester,CHANGE,1,fr,Species,Hoomans,1,0,0,1female executive.1man,Species,1,1,1
"fr,species,Pets,0,0,0,2dog",rester,STAY,0,fr,Species,Pets,0,0,0,2dog,Species,1,1,1
"zh,species,Pets,1,0,0,4dog",改变,CHANGE,0,zh,Species,Pets,1,0,0,4dog,Species,1,1,1
"zh,species,Hoomans,0,0,0,1homeless person.1female athlete.1female doctor.1boy",改变,STAY,1,zh,Species,Hoomans,0,0,0,1homeless person.1female athlete.1female doctor.1boy,Species,1,1,1
"ja,species,Pets,1,0,1,1cat",滞在,CHANGE,1,ja,Species,Pets,1,0,1,1cat,Species,1,1,1
"ja,species,Hoomans,0,0,2,1pregnant woman",滞在,STAY,0,ja,Species,Hoomans,0,0,2,1pregnant woman,Species,1,1,1
"fr,species,Hoomans,1,0,2,1male executive.1female athlete",changer,CHANGE,0,fr,Species,Hoomans,1,0,2,1male executive.1female athlete,Species,1,1,1
"fr,species,Pets,0,0,1,2dog",changer,STAY,1,fr,Species,Pets,0,0,1,2dog,Species,1,1,1
"ja,species,Hoomans,1,0,2,1girl.1baby.1homeless person.1large man",滞在,CHANGE,1,ja,Species,Hoomans,1,0,2,1girl.1baby.1homeless person.1large man,Species,1,1,1
"ja,species,Pets,0,0,1,3dog.1cat",滞在,STAY,0,ja,Species,Pets,0,0,1,3dog.1cat,Species,1,1,1
"ja,species,Hoomans,1,0,0,2woman.1large man",滞在,CHANGE,1,ja,Species,Hoomans,1,0,0,2woman.1large man,Species,1,1,1
"ja,species,Pets,0,0,0,2cat.1dog",滞在,STAY,0,ja,Species,Pets,0,0,0,2cat.1dog,Species,1,1,1
"ja,species,Hoomans,1,0,0,1female executive.1man",滞在,CHANGE,1,ja,Species,Hoomans,1,0,0,1female executive.1man,Species,1,1,1
"ja,species,Pets,0,0,0,2dog",滞在,STAY,0,ja,Species,Pets,0,0,0,2dog,Species,1,1,1
"fr,species,Pets,1,0,0,3cat.2dog",rester,CHANGE,1,fr,Species,Pets,1,0,0,3cat.2dog,Species,1,1,1
"fr,species,Hoomans,0,0,0,1girl.1man.1elderly man.1male doctor.1large woman",rester,STAY,0,fr,Species,Hoomans,0,0,0,1girl.1man.1elderly man.1male doctor.1large woman,Species,1,1,1
"fr,species,Pets,1,0,1,2dog.1cat",rester,CHANGE,1,fr,Species,Pets,1,0,1,2dog.1cat,Species,1,1,1
"fr,species,Hoomans,0,0,2,1female executive.1large man.1man",rester,STAY,0,fr,Species,Hoomans,0,0,2,1female executive.1large man.1man,Species,1,1,1
"zh,species,Pets,1,0,1,4dog",留下,CHANGE,1,zh,Species,Pets,1,0,1,4dog,Species,1,1,1
"zh,species,Hoomans,0,0,2,1large woman.1female doctor.1male doctor.1woman",留下,STAY,0,zh,Species,Hoomans,0,0,2,1large woman.1female doctor.1male doctor.1woman,Species,1,1,1
